,brand,store,sido,gungu,address,phone
0,cheogajip,석수예술공원점,경기도,안양시,경기도 안양시 만안구 경수대로1203,031-472-4708
1,cheogajip,호계점,울산광역시,북구,울산광역시 북구 동대1길18,052-297-5492
2,cheogajip,쌍용점,충남,천안시,충남 천안시 서북구 월봉로 132 타워프라자 1층 113호,041-901-8966
3,cheogajip,퇴촌점,경기도,광주시,경기도 광주시 퇴촌면 광동로97,031-766-5633
4,cheogajip,청라호수공원점,인천광역시,서구,인천광역시 서구 크리스탈로102번길 22,032-569-0494
5,cheogajip,귤현점,인천광역시,계양구,인천광역시 계양구 양지로131,032-554-0333
6,cheogajip,문산당동점,경기도,파주시,경기도 파주시 문산읍 당동1로 52,031-953-5592
7,cheogajip,길음뉴타운점,서울특별시,성북구,"서울특별시 성북구 숭인로 10, 1층(길음동)",02-981-8292
8,cheogajip,금촌2호점,경기,파주시,"경기 파주시 송화로 13 , 169동 113호",031-941-9289
9,cheogajip,현대캠퍼스몰점,경기,남양주시,경기 남양주시 다산순환로 20,031-869-3392
10,cheogajip,통진점,경기도,김포시,경기도 김포시 통진읍 서암로6번길 5-21,050-7744-8295
11,cheogajip,안정점,경상남도,통영시,경상남도 통영시 광도면 안정로 781,055-646-9852
12,cheogajip,백전점,경상남도,함양군,경상남도 함양군 백전면 구산대안로 2,0507-1386-8022
13,cheogajip,반지점,경상남도,창원시,경상남도 창원시 성산구 반지로32번길 19,055-237-9293
14,cheogajip,동읍점,경상남도,창원시,경상남도 창원시 의창구 동읍 용잠로 34,055-295-7999
15,cheogajip,정평점,경상북도,경산시,경상북도 경산시 대학로 64,0507-1375-2289
16,cheogajip,산격점,대구광역시,북구,대구광역시 북구 대동로1길 23,0507-1436-0252
17,cheogajip,동호점,대구광역시,동구,대구광역시 동구 동호로3길 20,053-964-9281
18,cheogajip,매천점,대구광역시,북구,대구광역시 북구 매전로 50-10,0507-1349-4860
19,cheogajip,고산점,대구광역시,수성구,대구광역시 수성구 달구벌대로641길 23,0507-1322-0999
20,cheogajip,봉화점,경상북도,봉화군,경상북도 봉화군 봉화읍 내성로1길 45-1,0507-1336-4401
21,cheogajip,장성점,전라남도,장성군,전라남도 장성군 장성읍 영천로 133-2,010-5496-2140
22,cheogajip,미장점,전라북도,군산시,전라북도 군산시 미장남로 36,0504-0999-1341
23,cheogajip,청당청수점,충청남도,천안시,충청남도 천안시 동남구 풍세로 932,041-567-4241
24,cheogajip,노은점,대전광역시,유성구,대전광역시 유성구 은구비남로33번길 5,042-710-8989
25,cheogajip,계룡대점,충청남도,계룡시,충청남도 계룡시 신도안면 신도안1길 61,0507-1409-9298
