,기준일,확진자 수,사망자 수,누적 검사 수
31,20211217,551544,4591,18460563
30,20211218,558854,4644,18539009
29,20211219,565087,4722,18593165
28,20211220,570403,4776,18645857
27,20211221,575595,4828,18718803
26,20211222,583047,4906,18786344
25,20211223,589961,5015,18859285
24,20211224,596194,5071,18929158
23,20211225,602034,5176,18994820
22,20211226,607447,5245,19040194
21,20211227,611650,5300,19082135
20,20211228,615514,5346,19141481
19,20211229,620921,5382,19196738
18,20211230,625955,5455,19251165
17,20211231,630828,5563,19309072
16,20220101,635243,5625,19364122
15,20220102,639074,5694,19456900
14,20220103,642199,5730,19546883
13,20220104,645220,5781,19671880
12,20220105,649661,5838,19778824
11,20220106,653783,5887,19875047
10,20220107,657496,5932,19971712
9,20220108,661003,5986,20046220
8,20220109,664374,6037,20099870
7,20220110,667379,6071,20148476
6,20220111,670473,6114,20081639
5,20220112,674856,6166,20277357
4,20220113,679021,6210,20329715
3,20220114,683559,6259,20389154
2,20220115,687980,6281,20446099
1,20220116,692173,6310,20489023
0,20220117,696032,6333,20527722
