순위,제목,변동,변동값
01,아바타: 물의 길,불변,0
02,영웅,불변,0
03,올빼미,불변,0
04,젠틀맨,불변,0
05,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",불변,0
06,나이브스 아웃: 글래스 어니언,상승,1
07,압꾸정,상승,1
08,탄생,강등,2
09,더 퍼스트 슬램덩크,불변,0
10,스위치,불변,0
11,크리스마스 캐럴,불변,0
12,아바타 리마스터링,상승,1
13,팬픽에서 연애까지,강등,1
14,장화신은 고양이: 끝내주는 모험,상승,1
15,강남좀비,상승,5
16,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,강등,2
17,3000년의 기다림,상승,6
18,원피스 필름 레드,강등,1
19,가가린,강등,2
20,본즈 앤 올,상승,7
21,데시벨,강등,3
22,유포자들,불변,0
23,교섭,상승,3
24,신비아파트 극장판 차원도깨비와 7개의 세계,불변,0
25,요정,강등,3
26,유령,상승,1
27,탑건: 매버릭,강등,2
28,헤어질 결심,상승,3
29,크레이지 컴페티션,상승,7
30,에브리씽 에브리웨어 올 앳 원스,상승,1
31,더 메뉴,강등,12
32,아바타,강등,2
33,메모리아,상승,6
34,극장판 뽀로로와 친구들: 바이러스를 없애줘!,강등,1
35,코르사주,불변,0
36,부기나이트,상승,7
37,스트레인지 월드,상승,3
38,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,강등,4
39,자백,상승,1
40,프레이 포 더 데블,강등,7
41,드라이브 마이 카,강등,4
42,몬스터 신부: 101번째 프로포즈,상승,4
43,클라우스,강등,2
44,패닉 런,상승,6
45,공조2: 인터내셔날,강등,2
46,동감,강등,1
47,오펜하이머,상승,3
48,블랙 팬서: 와칸다 포에버,상승,3
49,한산: 용의 출현,상승,6
50,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,강등,3
