,brand,store,sido,gungu,address,phone
0,pelicana,к°ҖкІҪлҸҷм җ,м¶©мІӯл¶ҒлҸ„,мІӯмЈјмӢңнқҘлҚ•кө¬,м¶©мІӯл¶ҒлҸ„ мІӯмЈјмӢңнқҘлҚ•кө¬ н’ҚмӮ°лЎң 103(ліөлҢҖлҸҷ),043-233-4091
1,pelicana,к°ҖлӮЁм җ,кІҪкё°лҸ„,м—¬мЈјмӢң,кІҪкё°лҸ„ м—¬мЈјмӢң к°ҖлӮЁл©ҙ нғңнҸүмӨ‘м•ҷ1кёё 8-6,031-883-5746
2,pelicana,к°Җлһҳл№„м җ,кІҪкё°лҸ„,м–‘мЈјмӢң,кІҪкё°лҸ„ м–‘мЈјмӢң кҙ‘м Ғл©ҙ к°Җлһҳл№„кёё 24,031-855-6126
3,pelicana,к°ҖмҲҳмӣҗм җ,лҢҖм,„кҙ‘м—ӯмӢң,лҢҖм „кҙ‘м—ӯмӢң м„ңкө¬ лІҢкіЎлЎң 1353лІҲкёё 63,
4,pelicana,к°Җм–‘лҸҷм җ,м„ңмҡёнҠ№лі„мӢң,к°•м„ңкө¬,"м„ңмҡёнҠ№лі„мӢң к°•м„ңкө¬ м–‘мІңлЎң57кёё 10-11, 101-1нҳё (к°Җм–‘лҸҷ, мқҙмҠӨнғҖл№Ң2м°Ё)",02-3663-3700
5,pelicana,к°ҖмҳӨм җ,лҢҖм,„кҙ‘м—ӯмӢң,лҢҖм „кҙ‘м—ӯмӢң лҸҷкө¬ мқҖм–ҙмҶЎлЎң 77лІҲкёё 17,
6,pelicana,к°Җмҡҙм җ,кІҪкё°лҸ„,лӮЁм–‘мЈјмӢң,кІҪкё°лҸ„ лӮЁм–‘мЈјмӢң к°ҖмҡҙлЎң2кёё 63 к°ҖмҡҙлҸҷмӮјмӣҗн”„лқјмһҗ 105нҳё,031-557-9222
7,pelicana,к°Җм •м§Җкө¬1м җ,мқёмІңкҙ‘м—ӯмӢң,м„ңкө¬,мқёмІңкҙ‘м—ӯмӢң м„ңкө¬ лҙүмҳӨмһ¬2лЎң 37 104нҳё,032-567-5885
8,pelicana,к°ҖнҸүм—ӯм „м җ,кІҪкё°лҸ„,к°ҖнҸүкө°,кІҪкё°лҸ„ к°ҖнҸүкө° к°ҖнҸүмқҚ к°Җнҷ”лЎң 54,031-582-5242
9,pelicana,к°ҖнҸүм җ,кІҪкё°лҸ„,к°ҖнҸүкө°,кІҪкё°лҸ„ к°ҖнҸүкө° к°ҖнҸүмқҚ к°Җнҷ”лЎң 125-1,031-582-4419
10,pelicana,가흥점,경상북도,영주시,경상북도 영주시 창진로 59,054-634-2500
11,pelicana,간성점,강원도,고성군,강원도 고성군 간성읍 간성로 45,033-681-3330
12,pelicana,간현점,강원도,원주시,강원도 원주시 지정면 간현로 188,033-731-0887
13,pelicana,갈곶원동점,경기도,오산시,경기도 오산시 오산로 68(갈곶동),
14,pelicana,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동),042-531-9962
15,pelicana,갈산점,인천광역시,부평구,인천광역시 부평구 굴포로 42,032-522-9292
16,pelicana,갈산점(이천),경기도,이천시,"경기도 이천시 갈산로 81(갈산동, 102호)",031-638-8320
17,pelicana,갈산점(홍성),충청남도,홍성군,충청남도 홍성군 갈산면 갈산로 109-1,041-634-1881
18,pelicana,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 142,043-881-3903
19,pelicana,강경점,충청남도,논산시,충청남도 논산시 강경읍 계백로 126-1,041-745-1206
20,pelicana,к°•кө¬м җ,кІҪмғҒл¶ҒлҸ„,мҳҒлҚ•кө°,кІҪмғҒл¶ҒлҸ„ мҳҒлҚ•кө° к°•кө¬л©ҙ к°•кө¬лҰ¬ 453,054-733-5544
21,pelicana,к°•лӮЁлҢҖм җ,кІҪкё°лҸ„,мҡ©мқёмӢңкё°нқҘкө¬,кІҪкё°лҸ„ мҡ©мқёмӢңкё°нқҘкө¬ к°•лӮЁлҸҷлЎң114лІҲ 22(мғҒн•ҳлҸҷ),031-284-9292
22,pelicana,к°•лҰүкөҗлҸҷм җ,к°•мӣҗлҸ„,к°•лҰүмӢң,к°•мӣҗлҸ„ к°•лҰүмӢң  к°•лҰүлҢҖлЎң 269 (көҗлҸҷ),033-642-9800
23,pelicana,к°•лҰүм„ңл¶Җм җ,к°•мӣҗлҸ„,к°•лҰүмӢң,к°•мӣҗлҸ„ к°•лҰүмӢң  мһ„мҳҒлЎң 170-3(мһ„лӢ№лҸҷ),033-641-1930
24,pelicana,к°•лҰүмҳҘкі„м җ,к°•мӣҗлҸ„,к°•лҰүмӢң,к°•мӣҗлҸ„ к°•лҰүмӢң  мҳҘкі„л©ҙ нҳ„лӮҙмӢңмһҘкёё 59,033-534-2587
25,pelicana,к°•лҰүмҳҘмІңлҸҷм җ,к°•мӣҗлҸ„,к°•лҰүмӢң,к°•мӣҗлҸ„ к°•лҰүмӢң  кІҪк°•лЎң 2166 1мёө(мҳҘмІңлҸҷ),033-642-1532
26,pelicana,к°•лҰүмң мІңм җ,к°•мӣҗлҸ„,к°•лҰүмӢң,к°•мӣҗлҸ„ к°•лҰүмӢң  м„ мҲҳмҙҢлЎң63лІҲкёё 5 мҡ°лҜёлҰ°мғҒк°Җ106,033-641-8494
27,pelicana,к°•лҰүнғқм§Җм җ,к°•мӣҗлҸ„,к°•лҰүмӢң,к°•мӣҗлҸ„ к°•лҰүмӢң  мңЁкіЎмҙҲкөҗкёё39лІҲ 23(көҗлҸҷ),033-645-6288
28,pelicana,к°•л¶Ғм җ,лҢҖкө¬кҙ‘м—ӯмӢң,л¶Ғкө¬,лҢҖкө¬кҙ‘м—ӯмӢң л¶Ғкө¬ мқҚлӮҙлҸҷ лҢҖмІңлЎң9кёё 11-5,053-322-5090
29,pelicana,к°•мғҒм җ,кІҪкё°лҸ„,м–‘нҸүкө°,"кІҪкё°лҸ„ м–‘нҸүкө° к°•мғҒл©ҙ к°•лӮЁлЎң 922, 107нҳё",031-775-8259
30,pelicana,к°•м„ңм җ,м¶©мІӯл¶ҒлҸ„,мІӯмЈјмӢңнқҘлҚ•кө¬,м¶©мІӯл¶ҒлҸ„ мІӯмЈјмӢңнқҘлҚ•кө¬ к°ҖлЎңмҲҳлЎң1154 21-5(к°•м„ңлҸҷ),043-232-5254
31,pelicana,к°•м„ м җ,кІҪкё°лҸ„,кі,кІҪкё°лҸ„ кі м–‘мӢңмқјмӮ°м„ңкө¬ к°•м„ лЎң 67лІҲм§Җ мң мӣҗмғҒк°Җ 103нҳё,031-912-5558
32,pelicana,к°•м§„м җ,м,„лқјлӮЁлҸ„,м „лқјлӮЁлҸ„ к°•м§„кө° к°•м§„мқҚ нғҗм§„лЎң 76-1,061-433-8292
33,pelicana,к°•нҷ”2м җ,мқёмІңкҙ‘м—ӯмӢң,к°•нҷ”кө°,мқёмІңкҙ‘м—ӯмӢң к°•нҷ”кө° к°•нҷ”мқҚ мӨ‘м•ҷлЎң 27,032-934-9200
34,pelicana,к°ңкө°м җ,кІҪкё°лҸ„,м–‘нҸүкө°,кІҪкё°лҸ„ м–‘нҸүкө° к°ңкө°л©ҙ н•ҳмһҗнҸ¬кёё 35,031-772-4612
35,pelicana,к°ңкёҲм җ,л¶ҖмӮ°кҙ‘м—ӯмӢң,л¶ҖмӮ°м§„кө¬,л¶ҖмӮ°кҙ‘м—ӯмӢң л¶ҖмӮ°м§„кө¬ к°ңкёҲліёлҸҷлЎң32 ,051-897-6061
36,pelicana,к°ңлҙү1м җ,м„ңмҡёнҠ№лі„мӢң,кө¬лЎңкө¬,"м„ңмҡёнҠ№лі„мӢң кө¬лЎңкө¬ к°ңлҙүлЎң11кёё 13, 1мёө 3нҳё(к°ңлҙүлҸҷ)",02-2688-9292
37,pelicana,к°ңмӢ м җ,м¶©мІӯл¶ҒлҸ„,мІӯмЈјмӢңм„ңмӣҗкө¬,м¶©мІӯл¶ҒлҸ„ мІӯмЈјмӢңм„ңмӣҗкө¬ мһҘкө¬лҙүлЎң 130 1мёө,043-218-9292
38,pelicana,к°ңмҡҙм җ,к°•мӣҗлҸ„,мӣҗмЈјмӢң,к°•мӣҗлҸ„ мӣҗмЈјмӢң мҶЎлҰјкёё 48-10(к°ңмҡҙлҸҷ),033-761-2592
39,pelicana,к°ңнҸ¬3м җ,м„ңмҡёнҠ№лі„мӢң,к°•лӮЁкө¬,м„ңмҡёнҠ№лі„мӢң к°•лӮЁкө¬ к°ңнҸ¬лЎң22кёё 23. м§ҖмғҒ1мёө(к°ңнҸ¬лҸҷ),
40,pelicana,кұ°лӘЁм җ,кІҪкё°лҸ„,мӢңнқҘмӢң,"кІҪкё°лҸ„ мӢңнқҘмӢң лҸ„мқјлЎң 100-3, 103нҳё",031-492-8222
41,pelicana,кұ°м ңмғҒлҸҷм җ,кІҪмғҒлӮЁлҸ„,кұ°м,кІҪмғҒлӮЁлҸ„ кұ°м ңмӢң мғҒлҸҷ1кёё 15-11,055-636-0588
42,pelicana,кұ°м§„м җ,к°•мӣҗлҸ„,кі,к°•мӣҗлҸ„ кі м„ұкө° кұ°м§„мқҚ кұ°нғ„м§„лЎң 117,033-682-3327
43,pelicana,кұ°м°Ҫм җ,кІҪмғҒлӮЁлҸ„,кұ°м°Ҫкө°,кІҪмғҒлӮЁлҸ„ кұ°м°Ҫкө° кұ°м°ҪмқҚ кұ°м—ҙлЎң1кёё 43,055-945-2765
44,pelicana,кұҙл“ұм җ,к°•мӣҗлҸ„,мӣҗмЈјмӢң,"к°•мӣҗлҸ„ мӣҗмЈјмӢң л¬ёл§үмқҚ мҷ•кұҙлЎң 96, м§Җн•ҳ1мёө",033-734-7282
45,pelicana,кұҙмҳҒм җ,кІҪкё°лҸ„,кі,кІҪкё°лҸ„ кі м–‘мӢңмқјмӮ°м„ңкө¬  м„ұм ҖлЎң110,
46,pelicana,кұҙмІңм җ,кІҪмғҒл¶ҒлҸ„,кІҪмЈјмӢң,"кІҪмғҒл¶ҒлҸ„ кІҪмЈјмӢң кұҙмІңмқҚ лӮҙм„ңлЎң 1126, 101",054-751-3510
47,pelicana,кІҖм•”кІҪм„ңм җ,мқёмІңкҙ‘м—ӯмӢң,м„ңкө¬,"мқёмІңкҙ‘м—ӯмӢң м„ңкө¬ мҠ№н•ҷлЎң 426, мҡ°мЈјн”„лқјмһҗ 104",032-565-7768
48,pelicana,кІҪкё°мҶЎмӮ°м җ,кІҪкё°лҸ„,нҷ”м„ұмӢң,кІҪкё°лҸ„ нҷ”м„ұмӢң мҲҳл…ёмқ„1лЎң 191,
49,pelicana,кІҪлӮЁкі м„ұм җ,кІҪмғҒлӮЁлҸ„,кі,кІҪмғҒлӮЁлҸ„ кі м„ұкө° кі м„ұмқҚ мӨ‘м•ҷлЎң43лІҲкёё71,055-673-6633
50,pelicana,кІҪлӮЁкёҲмӮ°м җ,кІҪмғҒлӮЁлҸ„,м§„мЈјмӢң,кІҪмғҒлӮЁлҸ„ м§„мЈјмӢң кёҲмӮ°л©ҙ кёҲмӮ°лЎң 101,055-763-9299
51,pelicana,кІҪлӮЁмӮ¬мІңм җ,кІҪмғҒлӮЁлҸ„,мӮ¬мІңмӢң,кІҪмғҒлӮЁлҸ„ мӮ¬мІңмӢң мӮ¬мІңмқҚ м •мқҳ1кёё 16,055-852-3197
